"","word","n","exNum"
"4032","union",10,0
"4033","unsure",10,0
"4034","ups",10,0
"4035","upvotes",10,0
"4036","urbandictionary",10,0
"4037","url",10,0
"4038","utterances",10,0
"4039","utterly",10,0
"4040","varied",10,0
"4041","wash",10,0
"4042","wheel",10,0
"4043","where's",10,0
"4044","whichever",10,0
"4045","whitewash",10,0
"4046","wikipedia's",10,0
"4047","wild",10,0
"4048","window",10,0
"4049","wouldn",10,0
"4050","xyz",10,0
"4051","acceptance",9,0
"4052","accordingly",9,0
"4053","achieved",9,0
"4054","acknowledging",9,0
"4055","admiration",9,0
"4056","advised",9,0
"4057","aim",9,0
"4058","alex",9,0
"4059","alexander",9,0
"4060","alike",9,0
"4061","alive",9,0
"4062","americanism",9,0
"4063","approaches",9,0
"4064","approximately",9,0
"4065","aramaic",9,0
"4066","ass",9,0
"4067","assert",9,0
"4068","assign",9,0
"4069","assigned",9,0
"4070","assumes",9,0
"4071","athletes",9,0
"4072","attendees",9,0
"4073","awful",9,0
"4074","ay",9,0
"4075","backwards",9,0
"4076","bald",9,0
"4077","bananas",9,0
"4078","bathwater",9,0
"4079","beanery",9,0
"4080","beauty",9,0
"4081","beef",9,0
"4082","bifurcation",9,0
"4083","billare",9,0
"4084","birds",9,0
"4085","bisexual",9,0
"4086","boats",9,0
"4087","bomb",9,0
"4088","brightest",9,0
"4089","brother",9,0
"4090","bunk",9,0
"4091","button",9,0
"4092","camp",9,0
"4093","cannon",9,0
"4094","celsius",9,0
"4095","cetera",9,0
"4096","chair",9,0
"4097","channel",9,0
"4098","characteristic",9,0
"4099","charge",9,0
"4100","charlie",9,0
"4101","chief",9,0
"4102","chiefly",9,0
"4103","christians",9,0
"4104","cinema",9,0
"4105","citing",9,0
"4106","coaching",9,0
"4107","cognates",9,0
"4108","colonel",9,0
"4109","communities",9,0
"4110","competent",9,0
"4111","conceived",9,0
"4112","conquest",9,0
"4113","conscious",9,0
"4114","considerably",9,0
"4115","contrasts",9,0
"4116","contribution",9,0
"4117","controversy",9,0
"4118","convenient",9,0
"4119","converted",9,0
"4120","coordinate",9,0
"4121","copying",9,0
"4122","corresponds",9,0
"4123","courses",9,0
"4124","covering",9,0
"4125","curve",9,0
"4126","daniel",9,0
"4127","das",9,0
"4128","dealt",9,0
"4129","decline",9,0
"4130","deemed",9,0
"4131","delicious",9,0
"4132","derive",9,0
"4133","derives",9,0
"4134","develop",9,0
"4135","dial",9,0
"4136","differs",9,0
"4137","digit",9,0
"4138","dirt",9,0
"4139","disagreement",9,0
"4140","disc",9,0
"4141","discharge",9,0
"4142","discourse",9,0
"4143","discovered",9,0
"4144","discrepancy",9,0
"4145","ditransitive",9,0
"4146","dive",9,0
"4147","dogs",9,0
"4148","driven",9,0
"4149","dubious",9,0
"4150","dying",9,0
"4151","eatery",9,0
"4152","educational",9,0
"4153","eliminate",9,0
"4154","emphasises",9,0
"4155","encountered",9,0
"4156","enormous",9,0
"4157","entered",9,0
"4158","environment",9,0
"4159","episode",9,0
"4160","est",9,0
"4161","estate",9,0
"4162","evil",9,0
"4163","exceptional",9,0
"4164","excrement",9,0
"4165","fabrics",9,0
"4166","fans",9,0
"4167","figured",9,0
"4168","finished",9,0
"4169","flower",9,0
"4170","fly",9,0
"4171","focusing",9,0
"4172","folk",9,0
"4173","fred",9,0
"4174","fubar",9,0
"4175","fuel",9,0
"4176","functions",9,0
"4177","gaming",9,0
"4178","gentle",9,0
"4179","girlfriend",9,0
"4180","god's",9,0
"4181","granted",9,0
"4182","greasy",9,0
"4183","greeks",9,0
"4184","hair",9,0
"4185","ham",9,0
"4186","happiness",9,0
"4187","heaven",9,0
"4188","herculean",9,0
"4189","hess",9,0
"4190","hound",9,0
"4191","huh",9,0
"4192","illogical",9,0
"4193","impolite",9,0
"4194","improvement",9,0
"4195","incomprehensible",9,0
"4196","increased",9,0
"4197","incredibly",9,0
"4198","infinite",9,0
"4199","inflection",9,0
"4200","inner",9,0
"4201","interpreting",9,0
"4202","intervals",9,0
"4203","intonation",9,0
"4204","invited",9,0
"4205","isles",9,0
"4206","italics",9,0
"4207","italy",9,0
"4208","janus",9,0
"4209","join",9,0
"4210","ju",9,0
"4211","kelly",9,0
"4212","kerning",9,0
"4213","kicking",9,0
"4214","kitchen",9,0
"4215","learner's",9,0
"4216","lee",9,0
"4217","lif",9,0
"4218","lighter",9,0
"4219","listeners",9,0
"4220","literate",9,0
"4221","magical",9,0
"4222","maintaining",9,0
"4223","manbeef",9,0
"4224","manuscripts",9,0
"4225","map",9,0
"4226","meanwhile",9,0
"4227","measurements",9,0
"4228","medium",9,0
"4229","merit",9,0
"4230","midwest",9,0
"4231","mild",9,0
"4232","minimize",9,0
"4233","muggles",9,0
"4234","mundane",9,0
"4235","musician",9,0
"4236","na",9,0
"4237","neologisms",9,0
"4238","nicholas",9,0
"4239","ny",9,0
"4240","obligation",9,0
"4241","omitting",9,0
"4242","originates",9,0
"4243","ou",9,0
"4244","overflow",9,0
"4245","owl",9,0
"4246","pairing",9,0
"4247","parliament",9,0
"4248","parsing",9,0
"4249","partly",9,0
"4250","peas",9,0
"4251","petershor",9,0
"4252","petrichor",9,0
"4253","pipe",9,0
"4254","placing",9,0
"4255","plans",9,0
"4256","plate",9,0
"4257","pleasant",9,0
"4258","politically",9,0
"4259","population",9,0
"4260","portion",9,0
"4261","potatoes",9,0
"4262","prestige",9,0
"4263","processes",9,0
"4264","products",9,0
"4265","professionally",9,0
"4266","pron",9,0
"4267","pullum",9,0
"4268","punchline",9,0
"4269","push",9,0
"4270","raising",9,0
"4271","rapid",9,0
"4272","reach",9,0
"4273","records",9,0
"4274","reduplication",9,0
"4275","rejected",9,0
"4276","remained",9,0
"4277","republic",9,0
"4278","reputable",9,0
"4279","requested",9,0
"4280","requestor",9,0
"4281","requests",9,0
"4282","researching",9,0
"4283","rolls",9,0
"4284","romantic",9,0
"4285","rounding",9,0
"4286","ruling",9,0
"4287","salmon",9,0
"4288","sandwich",9,0
"4289","sausages",9,0
"4290","sayings",9,0
"4291","scholarly",9,0
"4292","searched",9,0
"4293","select",9,0
"4294","servant",9,0
"4295","shed",9,0
"4296","shooting",9,0
"4297","similarities",9,0
"4298","singing",9,0
"4299","smoked",9,0
"4300","smoking",9,0
"4301","sobin",9,0
"4302","sold",9,0
"4303","specified",9,0
"4304","spinning",9,0
"4305","spoon",9,0
"4306","spreading",9,0
"4307","stable",9,0
"4308","stereotype",9,0
"4309","stories",9,0
"4310","stranger",9,0
"4311","stylebook",9,0
"4312","subset",9,0
"4313","substantial",9,0
"4314","substitution",9,0
"4315","summarize",9,0
"4316","supreme",9,0
"4317","surrounding",9,0
"4318","switches",9,0
"4319","talked",9,0
"4320","taller",9,0
"4321","textbook",9,0
"4322","tfd",9,0
"4323","thirteen",9,0
"4324","tic",9,0
"4325","tied",9,0
"4326","tim",9,0
"4327","toasting",9,0
"4328","topics",9,0
"4329","tour",9,0
"4330","transport",9,0
"4331","transposition",9,0
"4332","um",9,0
"4333","uncertain",9,0
"4334","underlining",9,0
"4335","understands",9,0
"4336","unfortunate",9,0
"4337","uniform",9,0
"4338","uniquely",9,0
"4339","universities",9,0
"4340","unwanted",9,0
"4341","varieties",9,0
"4342","vehicle",9,0
"4343","viewed",9,0
"4344","vincent",9,0
"4345","virginia",9,0
"4346","visit",9,0
"4347","viz",9,0
"4348","voicing",9,0
"4349","watched",9,0
"4350","weapon",9,0
"4351","wheat",9,0
"4352","winning",9,0
"4353","women's",9,0
"4354","worm",9,0
"4355","yolks",9,0
"4356","ypsilanti",9,0
"4357","zerg",9,0
"4358","absurd",8,0
"4359","accidental",8,0
"4360","acute",8,0
"4361","adapted",8,0
"4362","additionally",8,0
"4363","advantages",8,0
"4364","adverbial",8,0
"4365","advise",8,0
"4366","aficionado",8,0
"4367","afterwards",8,0
"4368","agenda",8,0
"4369","ahh",8,0
"4370","airline",8,0
"4371","album",8,0
"4372","alcohol",8,0
"4373","ally",8,0
"4374","alter",8,0
"4375","ambivalent",8,0
"4376","andrew",8,0
"4377","angle",8,0
"4378","antithesis",8,0
"4379","antonyms",8,0
"4380","aparente",8,0
"4381","app",8,0
"4382","appropriately",8,0
"4383","arachno",8,0
"4384","arbitrarily",8,0
"4385","archive",8,0
"4386","aren",8,0
"4387","argues",8,0
"4388","asia",8,0
"4389","assertions",8,0
"4390","atms",8,0
"4391","attract",8,0
"4392","auto",8,0
"4393","automagically",8,0
"4394","bacon",8,0
"4395","beating",8,0
"4396","bee",8,0
"4397","beginner",8,0
"4398","blah",8,0
"4399","bleep",8,0
"4400","borne",8,0
"4401","bosom",8,0
"4402","boston",8,0
"4403","bothered",8,0
"4404","branch",8,0
"4405","brian",8,0
"4406","brilliant",8,0
"4407","brings",8,0
"4408","broke",8,0
"4409","caf",8,0
"4410","cards",8,0
"4411","caring",8,0
"4412","cart",8,0
"4413","cartoon",8,0
"4414","caveat",8,0
"4415","cerberus",8,0
"4416","chase",8,0
"4417","chef",8,0
"4418","chicken",8,0
"4419","childhood",8,0
"4420","chris",8,0
"4421","clarifying",8,0
"4422","coast",8,0
"4423","cognate",8,0
"4424","coinage",8,0
"4425","coke",8,0
"4426","combat",8,0
"4427","combine",8,0
"4428","competing",8,0
"4429","competitive",8,0
"4430","comprehension",8,0
"4431","concerning",8,0
"4432","concerns",8,0
"4433","condescending",8,0
"4434","confidence",8,0
"4435","confirmed",8,0
"4436","construed",8,0
"4437","continental",8,0
"4438","contradictory",8,0
"4439","contradicts",8,0
"4440","corny",8,0
"4441","costs",8,0
"4442","counterpart",8,0
"4443","crammed",8,0
"4444","cramming",8,0
"4445","cry",8,0
"4446","curiosity",8,0
"4447","currencies",8,0
"4448","czech",8,0
"4449","da",8,0
"4450","damage",8,0
"4451","danger",8,0
"4452","dangerous",8,0
"4453","dawn",8,0
"4454","decade",8,0
"4455","december",8,0
"4456","deciding",8,0
"4457","defects",8,0
"4458","defense",8,0
"4459","deities",8,0
"4460","deletion",8,0
"4461","depth",8,0
"4462","derivation",8,0
"4463","desk",8,0
"4464","desperate",8,0
"4465","dew",8,0
"4466","dig",8,0
"4467","directed",8,0
"4468","directions",8,0
"4469","disappears",8,0
"4470","disappointed",8,0
"4471","discharging",8,0
"4472","distinctly",8,0
"4473","division",8,0
"4474","dominant",8,0
"4475","downvoted",8,0
"4476","dress",8,0
"4477","drives",8,0
"4478","dude",8,0
"4479","easiest",8,0
"4480","empires",8,0
"4481","encoding",8,0
"4482","encounter",8,0
"4483","engineer",8,0
"4484","engineers",8,0
"4485","equivalents",8,0
"4486","evolved",8,0
"4487","excited",8,0
"4488","executive",8,0
"4489","exercise",8,0
"4490","extend",8,0
"4491","external",8,0
"4492","facebook",8,0
"4493","fairy",8,0
"4494","fake",8,0
"4495","farming",8,0
"4496","fer",8,0
"4497","fifth",8,0
"4498","figuratively",8,0
"4499","films",8,0
"4500","fishpond",8,0
"4501","fixing",8,0
"4502","flipping",8,0
"4503","flogging",8,0
"4504","footnote",8,0
"4505","formatting",8,0
"4506","frame",8,0
"4507","functioning",8,0
"4508","garner's",8,0
"4509","gendered",8,0
"4510","gentleman",8,0
"4511","genuine",8,0
"4512","gloss",8,0
"4513","golden",8,0
"4514","guard",8,0
"4515","gui",8,0
"4516","guns",8,0
"4517","hafta",8,0
"4518","haha",8,0
"4519","harvest",8,0
"4520","hath",8,0
"4521","he'll",8,0
"4522","heated",8,0
"4523","henry",8,0
"4524","hes",8,0
"4525","hindi",8,0
"4526","hitting",8,0
"4527","hm",8,0
"4528","hotlicks",8,0
"4529","htm",8,0
"4530","humility",8,0
"4531","hundreds",8,0
"4532","identified",8,0
"4533","idiomatically",8,0
"4534","illustrated",8,0
"4535","importantly",8,0
"4536","improper",8,0
"4537","improving",8,0
"4538","inc",8,0
"4539","incapable",8,0
"4540","inconsistency",8,0
"4541","increases",8,0
"4542","industrial",8,0
"4543","inferior",8,0
"4544","inflected",8,0
"4545","inherited",8,0
"4546","inserted",8,0
"4547","insists",8,0
"4548","intelligent",8,0
"4549","intentions",8,0
"4550","interests",8,0
"4551","intransitive",8,0
"4552","intrinsic",8,0
"4553","ish",8,0
"4554","it'd",8,0
"4555","jean",8,0
"4556","jeff",8,0
"4557","jews",8,0
"4558","johnlawler",8,0
"4559","journalism",8,0
"4560","joy",8,0
"4561","june",8,0
"4562","lacking",8,0
"4563","lame",8,0
"4564","lan",8,0
"4565","largest",8,0
"4566","lewis",8,0
"4567","lexicon",8,0
"4568","linguistically",8,0
"4569","linotype",8,0
"4570","liquid",8,0
"4571","listing",8,0
"4572","loanwords",8,0
"4573","lucky",8,0
"4574","magazines",8,0
"4575","mainstream",8,0
"4576","manage",8,0
"4577","managers",8,0
"4578","manhattan",8,0
"4579","manuals",8,0
"4580","mathematician",8,0
"4581","matt",8,0
"4582","mechanical",8,0
"4583","medicine",8,0
"4584","midnight",8,0
"4585","mile",8,0
"4586","minister",8,0
"4587","misunderstood",8,0
"4588","misuse",8,0
"4589","mixture",8,0
"4590","monger",8,0
"4591","moods",8,0
"4592","mothers",8,0
"4593","motion",8,0
"4594","musicians",8,0
"4595","nay",8,0
"4596","negatives",8,0
"4597","nematodes",8,0
"4598","newly",8,0
"4599","newton",8,0
"4600","ni",8,0
"4601","nicer",8,0
"4602","noldorin",8,0
"4603","nonironic",8,0
"4604","nyc",8,0
"4605","occasions",8,0
"4606","odo",8,0
"4607","offices",8,0
"4608","opened",8,0
"4609","ordinarily",8,0
"4610","oriented",8,0
"4611","outdated",8,0
"4612","output",8,0
"4613","overlap",8,0
"4614","par",8,0
"4615","parlance",8,0
"4616","participation",8,0
"4617","pedantry",8,0
"4618","pennsylvania",8,0
"4619","peoples",8,0
"4620","phonetics",8,0
"4621","pitch",8,0
"4622","planet",8,0
"4623","ple",8,0
"4624","pok",8,0
"4625","polish",8,0
"4626","poser",8,0
"4627","posters",8,0
"4628","potter",8,0
"4629","pounds",8,0
"4630","precedence",8,0
"4631","preferences",8,0
"4632","preferring",8,0
"4633","prescriptivists",8,0
"4634","principal",8,0
"4635","professionals",8,0
"4636","professors",8,0
"4637","proud",8,0
"4638","publication",8,0
"4639","pushing",8,0
"4640","quantities",8,0
"4641","questionable",8,0
"4642","questioner",8,0
"4643","racial",8,0
"4644","rammed",8,0
"4645","rate",8,0
"4646","rationale",8,0
"4647","reaching",8,0
"4648","recipients",8,0
"4649","recommends",8,0
"4650","reductions",8,0
"4651","redundancy",8,0
"4652","ref",8,0
"4653","relate",8,0
"4654","relevance",8,0
"4655","remarks",8,0
"4656","remembered",8,0
"4657","replies",8,0
"4658","republican",8,0
"4659","requester",8,0
"4660","requirement",8,0
"4661","respectfully",8,0
"4662","rewrite",8,0
"4663","rick",8,0
"4664","rid",8,0
"4665","riding",8,0
"4666","rising",8,0
"4667","risky",8,0
"4668","rookies",8,0
"4669","rose",8,0
"4670","rounded",8,0
"4671","ry",8,0
"4672","saints",8,0
"4673","samples",8,0
"4674","sated",8,0
"4675","scan",8,0
"4676","scheme",8,0
"4677","secondary",8,0
"4678","secondly",8,0
"4679","selection",8,0
"4680","services",8,0
"4681","settings",8,0
"4682","settled",8,0
"4683","sexually",8,0
"4684","shadow",8,0
"4685","shanty",8,0
"4686","sharp",8,0
"4687","shiver",8,0
"4688","showed",8,0
"4689","sigh",8,0
"4690","simplicity",8,0
"4691","sion",8,0
"4692","slavic",8,0
"4693","slur",8,0
"4694","snacks",8,0
"4695","snippet",8,0
"4696","solving",8,0
"4697","songs",8,0
"4698","sounded",8,0
"4699","speculate",8,0
"4700","sporting",8,0
"4701","stackoverflow",8,0
"4702","stat",8,0
"4703","statii",8,0
"4704","stilted",8,0
"4705","stomach",8,0
"4706","stric",8,0
"4707","structures",8,0
"4708","studies",8,0
"4709","subsequent",8,0
"4710","substantially",8,0
"4711","substituting",8,0
"4712","suddenly",8,0
"4713","sum",8,0
"4714","sunny",8,0
"4715","surface",8,0
"4716","switcheroo",8,0
"4717","syn",8,0
"4718","syntactically",8,0
"4719","tactic",8,0
"4720","tale",8,0
"4721","teller",8,0
"4722","tempted",8,0
"4723","terribly",8,0
"4724","thorough",8,0
"4725","tironian",8,0
"4726","titanic",8,0
"4727","toys",8,0
"4728","traffic",8,0
"4729","transcribed",8,0
"4730","transfer",8,0
"4731","translator",8,0
"4732","transportation",8,0
"4733","treasure",8,0
"4734","triggers",8,0
"4735","troops",8,0
"4736","tunnel",8,0
"4737","twain",8,0
"4738","twist",8,0
"4739","und",8,0
"4740","unix",8,0
"4741","unjust",8,0
"4742","upc",8,0
"4743","upset",8,0
"4744","virtue",8,0
"4745","visual",8,0
"4746","vp",8,0
"4747","vulgarity",8,0
"4748","walt",8,0
"4749","weiosr",8,0
"4750","welsh",8,0
"4751","whatsoever",8,0
"4752","wildly",8,0
"4753","wins",8,0
"4754","wit",8,0
"4755","worker",8,0
"4756","xy",8,0
"4757","xylophone",8,0
"4758","yield",8,0
"4759","ymmv",8,0
"4760","accepting",7,0
"4761","achieving",7,0
"4762","adjectival",7,0
"4763","admitting",7,0
"4764","adolf",7,0
"4765","adopt",7,0
"4766","adult",7,0
"4767","advertising",7,0
"4768","ae",7,0
"4769","affects",7,0
"4770","afford",7,0
"4771","aficionados",7,0
"4772","ahd",7,0
"4773","ain",7,0
"4774","aircraft",7,0
"4775","alice",7,0
"4776","amusing",7,0
"4777","analyze",7,0
"4778","apathetic",7,0
"4779","apostate",7,0
"4780","arachnids",7,0
"4781","arises",7,0
"4782","arm",7,0
"4783","arose",7,0
"4784","arrangement",7,0
"4785","arrangements",7,0
"4786","array",7,0
"4787","artistic",7,0
"4788","asian",7,0
"4789","asp",7,0
"4790","aspiration",7,0
"4791","assessment",7,0
"4792","atlantic",7,0
"4793","attached",7,0
"4794","attended",7,0
"4795","aura",7,0
"4796","austria",7,0
"4797","baked",7,0
"4798","barcode",7,0
"4799","basket",7,0
"4800","beans",7,0
"4801","bears",7,0
"4802","beauticians",7,0
"4803","behead",7,0
"4804","belittle",7,0
"4805","beneficial",7,0
"4806","bert",7,0
"4807","bhp",7,0
"4808","bicarbonate",7,0
"4809","biggest",7,0
"4810","bigoted",7,0
"4811","bilingual",7,0
"4812","billion",7,0
"4813","binding",7,0
"4814","birthday",7,0
"4815","bis",7,0
"4816","biscuits",7,0
"4817","bloody",7,0
"4818","blowing",7,0
"4819","boards",7,0
"4820","boils",7,0
"4821","boo",7,0
"4822","boots",7,0
"4823","borderline",7,0
"4824","bore",7,0
"4825","borrowing",7,0
"4826","bottle",7,0
"4827","boyfriend",7,0
"4828","breathing",7,0
"4829","briefly",7,0
"4830","browsing",7,0
"4831","bugs",7,0
"4832","buried",7,0
"4833","burned",7,0
"4834","captain",7,0
"4835","card",7,0
"4836","cardinal",7,0
"4837","careless",7,0
"4838","carol",7,0
"4839","casey",7,0
"4840","categories",7,0
"4841","cc",7,0
"4842","cgel",7,0
"4843","ch",7,0
"4844","chest",7,0
"4845","child's",7,0
"4846","chock",7,0
"4847","chose",7,0
"4848","circumstance",7,0
"4849","cities",7,0
"4850","citizen",7,0
"4851","classified",7,0
"4852","cle",7,0
"4853","clip",7,0
"4854","clumsy",7,0
"4855","coaches",7,0
"4856","coding",7,0
"4857","colleague",7,0
"4858","colon",7,0
"4859","commonplace",7,0
"4860","complain",7,0
"4861","conclusions",7,0
"4862","conjugation",7,0
"4863","consequently",7,0
"4864","considerations",7,0
"4865","consisting",7,0
"4866","conspired",7,0
"4867","constitution",7,0
"4868","contest",7,0
"4869","contrasting",7,0
"4870","conviction",7,0
"4871","convince",7,0
"4872","cookie",7,0
"4873","coordinating",7,0
"4874","copyright",7,0
"4875","counts",7,0
"4876","courage",7,0
"4877","courts",7,0
"4878","cram",7,0
"4879","crimes",7,0
"4880","criteria",7,0
"4881","critical",7,0
"4882","culturally",7,0
"4883","danish",7,0
"4884","daughters",7,0
"4885","declare",7,0
"4886","declared",7,0
"4887","defeat",7,0
"4888","demonstrated",7,0
"4889","denying",7,0
"4890","deriving",7,0
"4891","descriptions",7,0
"4892","deserving",7,0
"4893","detect",7,0
"4894","devil",7,0
"4895","digital",7,0
"4896","directing",7,0
"4897","disadvantages",7,0
"4898","disappointing",7,0
"4899","discipline",7,0
"4900","disclaimer",7,0
"4901","dish",7,0
"4902","dishes",7,0
"4903","distributed",7,0
"4904","diverse",7,0
"4905","dolls",7,0
"4906","doors",7,0
"4907","downvotes",7,0
"4908","dramatic",7,0
"4909","draws",7,0
"4910","dressed",7,0
"4911","drunk",7,0
"4912","dump",7,0
"4913","eager",7,0
"4914","earn",7,0
"4915","ease",7,0
"4916","editions",7,0
"4917","edits",7,0
"4918","eh",7,0
"4919","elderly",7,0
"4920","electric",7,0
"4921","elephants",7,0
"4922","emphasized",7,0
"4923","encompasses",7,0
"4924","enter",7,0
"4925","entirety",7,0
"4926","epsilon",7,0
"4927","esl",7,0
"4928","euro",7,0
"4929","evan",7,0
"4930","evidently",7,0
"4931","exam",7,0
"4932","examine",7,0
"4933","examined",7,0
"4934","fallacy",7,0
"4935","financial",7,0
"4936","flavor",7,0
"4937","fluid",7,0
"4938","focuses",7,0
"4939","forces",7,0
"4940","fore",7,0
"4941","forest",7,0
"4942","formations",7,0
"4943","formerly",7,0
"4944","fortune",7,0
"4945","fought",7,0
"4946","fresh",7,0
"4947","fundamental",7,0
"4948","futility",7,0
"4949","fuzzy",7,0
"4950","garden",7,0
"4951","garner",7,0
"4952","generations",7,0
"4953","genesis",7,0
"4954","germans",7,0
"4955","gold",7,0
"4956","googling",7,0
"4957","grandmother",7,0
"4958","greatly",7,0
"4959","growth",7,0
"4960","guarantee",7,0
"4961","guis",7,0
"4962","guitar",7,0
"4963","ha",7,0
"4964","hail",7,0
"4965","handful",7,0
"4966","heading",7,0
"4967","heal",7,0
"4968","heroic",7,0
"4969","hidden",7,0
"4970","holes",7,0
"4971","hopefully",7,0
"4972","hunting",7,0
"4973","identifies",7,0
"4974","iesus",7,0
"4975","imagination",7,0
"4976","impact",7,0
"4977","incomplete",7,0
"4978","infinity",7,0
"4979","inquiry",7,0
"4980","instant",7,0
"4981","introducing",7,0
"4982","intuitively",7,0
"4983","it'll",7,0
"4984","jail",7,0
"4985","je",7,0
"4986","jock",7,0
"4987","joins",7,0
"4988","josephine",7,0
"4989","kangaroo",7,0
"4990","kay",7,0
"4991","kingdoms",7,0
"4992","kris",7,0
"4993","ks",7,0
"4994","lasted",7,0
"4995","laughter",7,0
"4996","lazy",7,0
"4997","legend",7,0
"4998","lent",7,0
"4999","leslie",7,0
"5000","lifetime",7,0
"5001","linguist",7,0
"5002","liquor",7,0
"5003","load",7,0
"5004","loaded",7,0
"5005","logging",7,0
"5006","loosely",7,0
"5007","markers",7,0
"5008","marry",7,0
"5009","masters",7,0
"5010","materials",7,0
"5011","maths",7,0
"5012","measured",7,0
"5013","meets",7,0
"5014","meh",7,0
"5015","merits",7,0
"5016","mesh",7,0
"5017","metal",7,0
"5018","metaphors",7,0
"5019","metathesis",7,0
"5020","mexican",7,0
"5021","mis",7,0
"5022","misses",7,0
"5023","mit",7,0
"5024","mitt",7,0
"5025","modals",7,0
"5026","monarchy",7,0
"5027","monkey",7,0
"5028","monster",7,0
"5029","mortal",7,0
"5030","movement",7,0
"5031","moves",7,0
"5032","mum",7,0
"5033","musical",7,0
"5034","mw",7,0
"5035","natives",7,0
"5036","nazis",7,0
"5037","nbsp",7,0
"5038","needless",7,0
"5039","neighborhood",7,0
"5040","nerds",7,0
"5041","nieces",7,0
"5042","nipple",7,0
"5043","nonstandard",7,0
"5044","norms",7,0
"5045","november",7,0
"5046","oald",7,0
"5047","obfuscate",7,0
"5048","obj",7,0
"5049","objectionable",7,0
"5050","objectively",7,0
"5051","oblique",7,0
"5052","occurring",7,0
"5053","offending",7,0
"5054","oracle",7,0
"5055","originate",7,0
"5056","oughta",7,0
"5057","outer",7,0
"5058","outlook",7,0
"5059","oven",7,0
"5060","owned",7,0
"5061","painting",7,0
"5062","paradigm",7,0
"5063","paradox",7,0
"5064","parallels",7,0
"5065","participants",7,0
"5066","participles",7,0
"5067","passion",7,0
"5068","patch",7,0
"5069","peers",7,0
"5070","pence",7,0
"5071","percent",7,0
"5072","performative",7,0
"5073","performing",7,0
"5074","permitted",7,0
"5075","phase",7,0
"5076","phonological",7,0
"5077","physician",7,0
"5078","piano",7,0
"5079","picking",7,0
"5080","pissing",7,0
"5081","pittsburgh",7,0
"5082","plagiarism",7,0
"5083","plane",7,0
"5084","pleading",7,0
"5085","poetic",7,0
"5086","poker",7,0
"5087","polishing",7,0
"5088","popped",7,0
"5089","pores",7,0
"5090","portugal",7,0
"5091","posed",7,0
"5092","practices",7,0
"5093","precede",7,0
"5094","precision",7,0
"5095","predicative",7,0
"5096","prefixed",7,0
"5097","pregnancy",7,0
"5098","presentation",7,0
"5099","pressure",7,0
"5100","pretentious",7,0
"5101","pride",7,0
"5102","processed",7,0
"5103","producing",7,0
"5104","prof",7,0
"5105","programs",7,0
"5106","proposal",7,0
"5107","protect",7,0
"5108","psychology",7,0
"5109","punch",7,0
"5110","qualified",7,0
"5111","qualifier",7,0
"5112","quarter",7,0
"5113","quarts",7,0
"5114","quiet",7,0
"5115","rapidly",7,0
"5116","rates",7,0
"5117","ratio",7,0
"5118","rearrange",7,0
"5119","recognised",7,0
"5120","recording",7,0
"5121","reducing",7,0
"5122","reflexive",7,0
"5123","regurgitator",7,0
"5124","relatives",7,0
"5125","reliable",7,0
"5126","remembering",7,0
"5127","repair",7,0
"5128","repeatedly",7,0
"5129","repeating",7,0
"5130","repetitive",7,0
"5131","replaces",7,0
"5132","reports",7,0
"5133","reserve",7,0
"5134","resulted",7,0
"5135","retained",7,0
"5136","reword",7,0
"5137","righteous",7,0
"5138","rival",7,0
"5139","rockets",7,0
"5140","rooted",7,0
"5141","route",7,0
"5142","routinely",7,0
"5143","runny",7,0
"5144","russia",7,0
"5145","ryan",7,0
"5146","safely",7,0
"5147","salutation",7,0
"5148","santo",7,0
"5149","sausage",7,0
"5150","savant",7,0
"5151","sc",7,0
"5152","sch",7,0
"5153","schm",7,0
"5154","sean",7,0
"5155","sec",7,0
"5156","seek",7,0
"5157","sees",7,0
"5158","separating",7,0
"5159","sesquipedalian",7,0
"5160","severe",7,0
"5161","sexes",7,0
"5162","shawn",7,0
"5163","sheet",7,0
"5164","shifts",7,0
"5165","shingen",7,0
"5166","shoemaker",7,0
"5167","shutting",7,0
"5168","sie",7,0
"5169","signifies",7,0
"5170","sinister",7,0
"5171","sizes",7,0
"5172","skip",7,0
"5173","sky",7,0
"5174","slightest",7,0
"5175","speaks",7,0
"5176","speculation",7,0
"5177","stephen",7,0
"5178","stickler",7,0
"5179","stock",7,0
"5180","stone",7,0
"5181","stood",7,0
"5182","stools",7,0
"5183","stretch",7,0
"5184","stretching",7,0
"5185","subpar",7,0
"5186","substituted",7,0
"5187","subtly",7,0
"5188","successfully",7,0
"5189","suffice",7,0
"5190","suffixes",7,0
"5191","sup",7,0
"5192","supplies",7,0
"5193","supported",7,0
"5194","swimming",7,0
"5195","swine",7,0
"5196","sword",7,0
"5197","swords",7,0
"5198","tab",7,0
"5199","tagged",7,0
"5200","tb",7,0
"5201","tenth",7,0
"5202","tewple",7,0
"5203","tex",7,0
"5204","thesaurus",7,0
"5205","throne",7,0
"5206","thyme",7,0
"5207","tie",7,0
"5208","timbers",7,0
"5209","timed",7,0
"5210","timing",7,0
"5211","toasts",7,0
"5212","today's",7,0
"5213","torture",7,0
"5214","toss",7,0
"5215","tossed",7,0
"5216","trail",7,0
"5217","trains",7,0
"5218","trans",7,0
"5219","transcript",7,0
"5220","transformation",7,0
"5221","treating",7,0
"5222","treats",7,0
"5223","tri",7,0
"5224","triple",7,0
